date_in_ms,price,time,calendar_week
1567296000000,9.607.289.264.302.580,2019-09-01 02:00:00.000,35
1567382400000,9.729.266.231.867.810,2019-09-02 02:00:00.000,36
1567468800000,10.323.022.660.378.000,2019-09-03 02:00:00.000,36
1567555200000,10.620.165.189.356.900,2019-09-04 02:00:00.000,36
1567641600000,10.573.515.179.027.800,2019-09-05 02:00:00.000,36
1567728000000,10.570.249.940.786.200,2019-09-06 02:00:00.000,36
1567814400000,10.350.748.325.717.200,2019-09-07 02:00:00.000,36
1567900800000,10.461.547.731.202.400,2019-09-08 02:00:00.000,36
1567987200000,10.404.333.900.445.900,2019-09-09 02:00:00.000,37
1568073600000,10.321.931.613.525.700,2019-09-10 02:00:00.000,37
1568160000000,10.121.102.297.214.300,2019-09-11 02:00:00.000,37
1568246400000,1.015.071.002.363.700,2019-09-12 02:00:00.000,37
1568334908318,10.401.319.919.342.200,2019-09-13 02:35:08.318,37
1568419200000,10.355.626.898.620.000,2019-09-14 02:00:00.000,37
1568505600000,10.349.551.958.231.700,2019-09-15 02:00:00.000,37
1568592000000,10.305.675.020.156.900,2019-09-16 02:00:00.000,38
1568678400000,10.268.421.696.882.100,2019-09-17 02:00:00.000,38
1568764800000,10.203.071.046.816.100,2019-09-18 02:00:00.000,38
1568851200000,10.158.854.517.376.000,2019-09-19 02:00:00.000,38
1568937600000,10.253.232.374.680.300,2019-09-20 02:00:00.000,38
1569024000000,10.178.442.572.698.100,2019-09-21 02:00:00.000,38
1569110400000,9.997.199.887.816.770,2019-09-22 02:00:00.000,38
1569200400000,10.041.304.200.624.900,2019-09-23 03:00:00.000,39
1569283200000,9.699.504.938.095.950,2019-09-24 02:00:00.000,39
1569369600000,8.702.713.528.026.230,2019-09-25 02:00:00.000,39
1569456000000,8.446.244.115.548.520,2019-09-26 02:00:00.000,39
1569542400000,809.880.982.048.931,2019-09-27 02:00:00.000,39
1569628800000,8.183.482.347.567.020,2019-09-28 02:00:00.000,39
1569715200000,822.511.037.185.192,2019-09-29 02:00:00.000,39
1569801600000,8.064.380.983.385.260,2019-09-30 02:00:00.000,40
1569888000000,8.271.290.855.465.350,2019-10-01 02:00:00.000,40
1569974400000,8.366.503.905.663.560,2019-10-02 02:00:00.000,40
1570060800000,8.366.503.905.663.560,2019-10-03 02:00:00.000,40
1570147200000,8.176.354.679.406.580,2019-10-04 02:00:00.000,40
1570233600000,8.156.519.553.840.960,2019-10-05 02:00:00.000,40
1570320000000,8.140.242.484.268.420,2019-10-06 02:00:00.000,40
1570406400000,7.890.234.349.864.650,2019-10-07 02:00:00.000,41
1570492800000,8.182.251.593.084.190,2019-10-08 02:00:00.000,41
1570579200000,818.069.113.018.462,2019-10-09 02:00:00.000,41
1570694440000,8.599.865.398.316.230,2019-10-10 10:00:40.000,41
