date_in_ms;price
1461801600000;4.493.809.999.999.990
1461888000000;4.565.660.000.000.000
1461974400000;44.790.299.999.999.900
1462060800000;452.592
1462147200000;444.488
1462233600000;450.3
1462320000000;447.119
1462406400000;4.489.219.999.999.990
1462492800000;4.616.200.000.000.000
1462579200000;4.592.479.999.999.990
1462665600000;459.283
1462752000000;46.174.700.000.000.000
1462838400000;4.503.259.999.999.990
1462924800000;452.179
1463011200000;4.547.310.000.000.000
1463097600000;4.560.070.000.000.000
1463184000000;4.555.030.000.000.000
1463270400000;457.837
1463356800000;454.893
1463443200000;452.422
1463529600000;4.533.710.000.000.000
1463616000000;4.405.389.999.999.990
1463702400000;441.888
1463788800000;4.431.469.999.999.990
1463875200000;4.386.750.000.000.000
1463961600000;443.175
1464048000000;445.769
1464134400000;4.490.549.999.999.990
1464220800000;45.373.199.999.999.900
1464307200000;4.738.640.000.000.000
1464393600000;528.545
1464480000000;524.624
1464566400000;5.342.240.000.000.000
1464652800000;5.314.070.000.000.000
1464739200000;5.391.679.999.999.990
1464825600000;538.832
1464912000000;5.704.449.999.999.990
1464998400000;5.735.259.999.999.990
1465084800000;5.744.756.747.207.700
1465171200000;585.563
1465257600000;5.779.106.942.699.350
1465344000000;5.831.389.999.999.990
1465430400000;577.607
1465516800000;5.792.276.478.801.400
1465603200000;597.746.561.993.518
1465689600000;6.717.122.784.950.520
1465776000000;7.042.918.521.711.080
1465862400000;685.932.131.564.762
1465948800000;6.932.269.999.999.990
1466035200000;7.654.629.999.999.990
1466121600000;7.494.189.999.999.990
1466208000000;7.567.996.012.580.620
1466294400000;7.640.459.999.999.990
1466380800000;7.341.617.358.035.660
1466467200000;6.649.965.293.554.340
1466553600000;591.895
1466640000000;6.232.062.563.646.150
1466726400000;6.614.166.051.593.030
1466812800000;6.660.566.978.558.090
1466899200000;6.293.059.999.999.990
1466985600000;6.482.999.999.999.990
1467072000000;6.468.429.999.999.990
1467158400000;637.437
1467244800000;6.716.159.999.999.990
1467331200000;6.777.099.999.999.990
1467417600000;6.930.470.000.000.000
1467504000000;6.647.451.003.433.930
1467590400000;6.787.005.716.794.640
1467676800000;6.675.305.180.233.450
1467763200000;6.759.190.000.000.000
1467849600000;6.386.200.000.000.000
1467936000000;665.744.506.272.113
1468022400000;6.538.705.124.993.980
1468108800000;6.503.210.000.000.000
1468195200000;649.07
1468281600000;6.709.480.000.000.000
1468368000000;6.581.500.000.000.000
1468454400000;6.595.760.000.000.000
1468540800000;6.656.869.915.031.880
1468627200000;6.635.010.000.000.000
1468713600000;6.783.905.582.459.540
1468800000000;6.747.874.378.266.200
1468886400000;6.745.573.889.807.010
1468972800000;6.708.934.740.599.930
1469059200000;6.653.643.845.142.730
1469145600000;6.510.899.999.999.990
1469232000000;6.554.230.000.000.000
1469318400000;660.848.923.533.057
1469404800000;6.545.186.383.481.070
1469491200000;6.513.099.999.999.990
1469577600000;655.618.263.277.738
1469664000000;6.558.904.301.748.950
1469750400000;6.573.423.791.946.650
1469836800000;6.545.489.803.055.390
1469923200000;6.237.457.712.533.020
1470009600000;6.057.469.999.999.990
1470096000000;5.171.349.294.487.600
1470182400000;5.673.810.616.156.010
1470268800000;5.766.037.067.248.540
1470355200000;5.760.338.000.000.000
1470441600000;5.876.349.999.999.990
1470528000000;5.926.675
1470614400000;5.907.125
1470700800000;5.853.024.999.999.990
1470787200000;592.266.843.297.098
1470873600000;5.876.138.000.000.000
1470960000000;5.865.299.999.999.990
1471046400000;5.844.688.683.346.060
1471132800000;5.707.366.999.999.990
1471219200000;5.677.342.836.594.340
1471305600000;5.782.231.511.023.560
1471392000000;571.461.914.957.742
1471478400000;5.722.684.198.487.190
1471564800000;5.734.919.906.794.340
1471651200000;5.819.462.730.812.130
1471737600000;5.805.870.271.371.730
1471824000000;5.852.175.000.000.000
1471910400000;5.820.038
1471996800000;5.778.880.531.621.710
1472083200000;5.761.163.000.000.000
1472169600000;5.781.037.999.999.990
1472256000000;5.685.750.000.000.000
1472342400000;5.735.288
1472428800000;5.725.102.283.617.080
1472515200000;576.08
1472601600000;5.717.582.826.763.030
1472688000000;571.59
1472774400000;5.739.624.999.999.990
1472860800000;5.961.950.000.000.000
1472947200000;6.086.887.999.999.990
1473033600000;6.066.438
1473120000000;6.106.837.999.999.990
1473206400000;6.143.264.885.962.190
1473292800000;6.254.675.000.000.000
1473379200000;6.219.124.999.999.990
1473465600000;6.230.588.000.000.000
1473552000000;6.053.154.151.790.800
1473638400000;6.058.312.052.420.320
1473724800000;6.066.450.000.000.000
1473811200000;6.084.250.000.000.000
1473897600000;6.055.838.000.000.000
1473984000000;6.065.533.658.936.910
1474070400000;6.053.438
1474156800000;6.087.950.000.000.000
1474243200000;6.086.176.342.973.240
1474329600000;6.077.688.125.632.660
1474416000000;5.958.402.492.264.340
1474502400000;5.949.587.999.999.990
1474588800000;6.018.925
1474675200000;6.012.725.000.000.000
1474761600000;5.993.112.999.999.990
1474848000000;6.060.970.645.363.000
1474934400000;6.042.074.999.999.990
1475020800000;6.035.549.999.999.990
1475107200000;6.046.375
1475193600000;6.082.575
1475280000000;6.140.598.845.176.640
1475366400000;6.103.588.000.000.000
1475452800000;6.119.609.026.561.790
1475539200000;6.092.425
1475625600000;6.116.363
1475712000000;6.109.800.000.000.000
1475798400000;6.162.188.000.000.000
1475884800000;6.165.338
1475971200000;6.146.238.000.000.000
1476057600000;6.143.138
1476144000000;640.7
1476230400000;6.356.163
1476316800000;6.346.223.388.041.230
1476403200000;6.381.799.999.999.990
1476489600000;6.372.088
1476576000000;6.401.862.999.999.990
1476662400000;6.374.825.000.000.000
1476748800000;635.465
1476835200000;6.284.375
1476921600000;6.285.425
1477008000000;6.297.187.999.999.990
1477094400000;6.520.875
1477180800000;6.496.263.000.000.000
1477267200000;6.487.663
1477353600000;6.526.338
1477440000000;6.734.175.000.000.000
1477526400000;6.833.724.999.999.990
1477612800000;6.875.587.999.999.990
1477699200000;7.154.103.243.232.160
1477785600000;6.972.773.624.560.570
1477872000000;6.985.762.999.999.990
1477958400000;7.292.049.999.999.990
1478044800000;7.341.638
1478131200000;6.860.612.999.999.990
1478217600000;702.11
1478304000000;7.040.224.999.999.990
1478390400000;7.121.263.000.000.000
1478476800000;7.060.925
1478563200000;7.089.399.999.999.990
1478649600000;7.211.774.999.999.990
1478736000000;7.132.141.433.353.430
1478822400000;7.156.425.000.000.000
1478908800000;703.76
1478995200000;7.023.463.169.808.620
1479081600000;705.55
1479168000000;712.158.899.800.779
1479254400000;7.408.993.548.679.160
1479340800000;7.384.799.999.999.990
1479427200000;7.484.263
1479513600000;7.504.100.480.749.120
1479600000000;7.283.713
1479686400000;7.365.049.999.999.990
1479772800000;7.481.225
1479859200000;7.411.662.465.178.730
1479945600000;7.367.486.937.230.670
1480032000000;7.382.039.432.073.000
1480118400000;7.327.338.000.000.000
1480204800000;7.277.574.999.999.990
1480291200000;7.318.424.613.583.480
1480377600000;731.81
1480464000000;7.423.587.999.999.990
1480550400000;7.530.550.000.000.000
1480636800000;7.711.713
1480723200000;7.648.338.233.239.150
1480809600000;7.663.687.999.999.990
